Tâche,Début,Fin,Projet,Facturable,Type,Total,12:08
1 août,,,, ,,02:49,02:49
"Fix formAudit, Fix database model (metas)",09:30,09:45,bouletap,,,00:15,
"Fix router for dynamic value (edit/{INT}, projets/{SLUG}",09:45,10:11,bouletap,,,00:26,
Fix model Publication / Projet (meta) + save/get_all,11:40,12:56,bouletap,,,01:16,
Fix edit form projet + delete,14:04,14:56,bouletap,,,00:52,
2 août,,,, ,,00:35,00:35
"Projet delete image(s), refactor static delete()",09:51,10:00,bouletap,,,00:09,
"UploadImage, Preview v1",10:11,10:37,bouletap,,,00:26,
13 août,,,, ,,01:07,01:07
"Fix SSL certificate (eugene, bouletap)",08:45,09:52,laplanteeugene,,,01:07,
19 août,,,, ,,02:18,02:18
"Admin dashboard, affichage des formulaires v2",10:40,11:55,bouletap,~65,,01:15,
Remplacer l'image uploaded,11:55,12:58,bouletap,~65,,01:03,
26 août,,,, ,,04:11,04:11
"Refactor admin portfolio, update publication/projet + fix bugs",11:30,12:46,bouletap,~45,,01:16,
Correction du problème d'erreur critique (MailChimp),18:27,19:06,gaboteur,,,00:39,
27 août,,,, ,,01:08,01:08
"Réouverture Zoho, facture gaboteur",07:45,08:53,gaboteur,~45,,01:08,
